epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2934,2.46157,4.90097,2.11617,0.70934,0.46429,0.58953,0.29633,1.89494,2.62325,1.72715,0.000657534,0.000657534,0.000657534
2,38.6924,2.20313,3.50356,1.78411,0.66913,0.42857,0.47687,0.25197,1.99411,1.84724,1.77279,0.00132403,0.00132403,0.00132403
3,54.3156,2.1886,2.747,1.79423,0.79837,0.39286,0.52069,0.27388,1.76904,2.7365,1.67522,0.00198982,0.00198982,0.00198982
4,69.9086,2.18319,2.56261,1.70616,0.75548,0.53571,0.5815,0.29673,1.81106,1.74843,1.65475,0.00199763,0.00199763,0.00199763
5,85.4324,2.13081,2.62807,1.62926,0.43285,0.60714,0.50032,0.25018,1.73216,1.69167,1.53224,0.0019958,0.0019958,0.0019958
6,101.079,2.11904,2.25204,1.66703,0.59869,0.53291,0.56687,0.27237,1.67992,1.5154,1.57181,0.00199343,0.00199343,0.00199343
7,116.505,2.05153,2.23445,1.7425,0.59221,0.57143,0.56092,0.29157,1.77697,1.47913,1.63088,0.00199055,0.00199055,0.00199055
8,132.54,2.09216,1.98998,1.69816,0.57582,0.57143,0.64174,0.31715,1.74208,1.33013,1.60061,0.00198715,0.00198715,0.00198715
9,149.531,2.0612,2.00895,1.7285,0.67942,0.53006,0.64613,0.28627,1.9952,1.51167,1.85871,0.00198322,0.00198322,0.00198322
10,165.188,2.04831,1.93886,1.72296,0.82343,0.49969,0.60459,0.29172,1.88319,1.45212,1.67203,0.00197878,0.00197878,0.00197878
11,180.314,2.15002,2.01674,1.70304,0.48424,0.57143,0.52027,0.25603,1.81146,1.49639,1.64445,0.00197383,0.00197383,0.00197383
12,195.161,2.02256,1.9472,1.65711,0.70131,0.50328,0.60606,0.31913,1.7828,1.36893,1.62329,0.00196836,0.00196836,0.00196836
13,210.824,2.10342,2.03569,1.68868,0.41359,0.60714,0.50239,0.24213,1.86479,1.66288,1.66536,0.00196238,0.00196238,0.00196238
14,225.973,1.98713,1.82062,1.59734,0.47022,0.57143,0.54267,0.28187,1.75194,1.41275,1.62278,0.0019559,0.0019559,0.0019559
15,241.34,2.07952,1.88835,1.64242,0.43042,0.71429,0.58732,0.28871,1.72748,1.50472,1.54817,0.00194891,0.00194891,0.00194891
16,256.947,2.00912,1.85081,1.62971,0.43682,0.57143,0.53412,0.2877,1.69731,1.38942,1.54426,0.00194143,0.00194143,0.00194143
17,272.443,1.91527,1.81333,1.53034,0.66151,0.48896,0.59606,0.34288,1.66782,1.39229,1.53666,0.00193345,0.00193345,0.00193345
18,288.903,1.95412,1.78523,1.52137,0.5302,0.57143,0.59171,0.32555,1.75437,1.54762,1.54153,0.00192498,0.00192498,0.00192498
19,304.464,2.02365,1.78536,1.55644,0.64751,0.57143,0.60578,0.27721,1.63598,1.45869,1.48357,0.00191602,0.00191602,0.00191602
20,320.672,2.06092,1.86054,1.65558,0.62744,0.60714,0.63045,0.29987,1.61992,1.39264,1.49252,0.00190659,0.00190659,0.00190659
21,337.128,2.05674,1.91942,1.62532,0.37485,0.71429,0.5993,0.27452,1.79941,1.51489,1.60033,0.00189667,0.00189667,0.00189667
22,352.79,2.0306,1.75013,1.7031,0.53744,0.53956,0.5888,0.31358,1.71797,1.31253,1.5731,0.00188629,0.00188629,0.00188629
23,368.402,1.93807,1.79823,1.605,0.49888,0.64286,0.57691,0.2923,1.74275,1.34061,1.59206,0.00187543,0.00187543,0.00187543
