epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,505.807,2.06636,4.55302,2.2483,0.4189,0.43225,0.43661,0.31765,1.69524,1.91198,2.15284,0.00332449,0.00332449,0.00332449
2,857.753,1.74482,2.7597,1.97353,0.55432,0.58313,0.55109,0.37878,1.57028,1.65739,1.9739,0.00665772,0.00665772,0.00665772
3,1226.9,1.65262,2.33882,1.87324,0.68009,0.61601,0.60324,0.40722,1.51837,1.5862,1.92547,0.00999054,0.00999054,0.00999054
4,1582.29,1.59907,2.09158,1.85696,0.65763,0.66786,0.64358,0.43385,1.43622,1.38517,1.86616,0.00999861,0.00999861,0.00999861
5,1963.22,1.50241,1.80768,1.79706,0.72695,0.66356,0.72069,0.46712,1.43049,1.24664,1.84555,0.00999753,0.00999753,0.00999753
6,2364.73,1.48251,1.65122,1.76373,0.81242,0.71675,0.78135,0.52992,1.35336,1.14856,1.77546,0.00999615,0.00999615,0.00999615
7,2722.92,1.42148,1.51618,1.72781,0.75294,0.72218,0.76252,0.50788,1.37919,1.18445,1.76872,0.00999445,0.00999445,0.00999445
8,3118.41,1.39399,1.42208,1.70653,0.78913,0.75892,0.81163,0.53908,1.30879,1.15362,1.74571,0.00999245,0.00999245,0.00999245
9,3501.61,1.34441,1.31656,1.66652,0.73526,0.77058,0.78083,0.52688,1.32469,1.14293,1.74444,0.00999013,0.00999013,0.00999013
10,3798.3,1.35011,1.30946,1.65915,0.8206,0.78056,0.85382,0.581,1.27571,1.04924,1.69971,0.00998751,0.00998751,0.00998751
11,4129.55,1.33533,1.29682,1.66499,0.72156,0.80422,0.83152,0.56256,1.30092,1.21465,1.69917,0.00998459,0.00998459,0.00998459
12,4548.4,1.31794,1.26939,1.63097,0.77555,0.77522,0.84407,0.58519,1.28251,1.10403,1.68526,0.00998135,0.00998135,0.00998135
13,5200.34,1.29632,1.20976,1.63107,0.84039,0.8075,0.87731,0.62006,1.23162,0.97253,1.67111,0.00997781,0.00997781,0.00997781
14,5479.95,1.26414,1.17129,1.59529,0.85084,0.79997,0.86888,0.60075,1.2893,0.958,1.7275,0.00997396,0.00997396,0.00997396
15,5763.64,1.26905,1.15144,1.60944,0.84146,0.77118,0.86569,0.60449,1.2575,0.97274,1.68284,0.00996981,0.00996981,0.00996981
16,6073.22,1.23219,1.13152,1.56955,0.80525,0.80491,0.85367,0.59749,1.27731,0.99148,1.70748,0.00996534,0.00996534,0.00996534
17,6383.27,1.28077,1.12601,1.60243,0.90255,0.77959,0.8814,0.61743,1.266,0.90777,1.70992,0.00996058,0.00996058,0.00996058
18,6662.68,1.23107,1.088,1.57804,0.82836,0.84902,0.88921,0.61855,1.26739,0.94686,1.67996,0.0099555,0.0099555,0.0099555
19,7015.26,1.22977,1.07997,1.56902,0.84423,0.82974,0.87567,0.62536,1.21461,0.93703,1.64781,0.00995012,0.00995012,0.00995012
20,7796.61,1.2277,1.08323,1.56981,0.83322,0.81907,0.87242,0.62023,1.23806,0.97692,1.63717,0.00994444,0.00994444,0.00994444
21,8277.24,1.23536,1.0979,1.58631,0.86352,0.85135,0.89753,0.6332,1.23625,0.92837,1.67028,0.00993844,0.00993844,0.00993844
22,8585.63,1.19754,1.04174,1.54012,0.83769,0.85319,0.89324,0.64318,1.19943,0.95209,1.6223,0.00993215,0.00993215,0.00993215
23,8894.84,1.20172,1.03508,1.5456,0.85785,0.85419,0.89778,0.63923,1.22392,0.87781,1.64515,0.00992555,0.00992555,0.00992555
